image_name;manual_count;script_own;script_simple;script_watershed;script_own_sparse;script_SarDist;YOLO_count
img_01;81;60;48;73;58;71;
img_02;83;78;60;83;76;81;
img_03;88;56;46;83;57;82;
img_04;75;58;46;68;59;64;
img_05;56;45;36;53;45;53;
img_06;92;58;45;78;58;75;
img_07;75;58;46;68;59;64;
img_08;58;46;37;55;46;55;
img_09;89;61;44;80;60;79;
img_10;77;73;60;77;73;75;
img_11;85;50;38;73;50;71;
img_12;55;45;39;53;45;51;
img_13;78;51;40;65;52;67;
img_14;63;55;47;59;55;61;
img_15;64;43;33;57;43;51;
